"Date","week","FluApos","FluBpos","FluPos","FluTest","RSVtest","RSVpos","tem_CA","pre_CA","hits_CA","GFT Canada"
2004-01-04,"2004 W01",693,6,699,3691,3158,129,-21.6958154761905,0.0503869047619048,33,3649
2004-01-11,"2004 W02",632,0,632,3335,2754,152,-24.2809166666667,0.0407738095238095,32,2866
2004-01-18,"2004 W03",591,1,592,3160,2404,180,-23.8320833333333,0.0702857142857143,26,2230
2004-01-25,"2004 W04",465,0,465,3182,2483,262,-24.9090535714286,0.0541309523809524,44,2155
2004-02-01,"2004 W05",483,4,487,3284,2456,363,-25.547244047619,0.05075,41,1699
2004-02-08,"2004 W06",356,5,361,2977,2437,449,-18.3137023809524,0.0481130952380952,37,1649
2004-02-15,"2004 W07",273,1,274,2699,2138,387,-20.3155773809524,0.0382738095238095,31,1700
2004-02-22,"2004 W08",190,7,197,2812,2485,544,-19.6493333333333,0.0396547619047619,24,1580
2004-02-29,"2004 W09",145,17,162,2511,2299,489,-15.932994047619,0.0321190476190476,19,1427
2004-03-07,"2004 W10",89,8,97,2459,2479,486,-19.026369047619,0.0552261904761905,19,1409
2004-03-14,"2004 W11",58,12,70,2156,2271,527,-15.714375,0.055952380952381,14,1404
2004-03-21,"2004 W12",24,13,37,1745,1899,365,-15.5469226190476,0.0526666666666667,25,1424
2004-03-28,"2004 W13",20,11,31,1683,1774,342,-14.3993571428571,0.0679404761904762,18,1111
2004-04-04,"2004 W14",10,9,19,1342,1534,269,-7.50992261904762,0.0576428571428571,29,1178
2004-04-11,"2004 W15",8,12,20,1528,1714,249,-7.07517857142857,0.0459583333333333,20,1425
2004-04-18,"2004 W16",10,5,15,1381,1599,212,-7.77203571428571,0.0652559523809524,18,1163
2004-04-25,"2004 W17",7,2,9,1260,1479,175,-5.36441071428571,0.0729345238095238,11,1043
2004-05-02,"2004 W18",6,2,8,1107,1252,109,-2.53397619047619,0.071375,13,786
2004-05-09,"2004 W19",9,0,9,1103,1098,84,-2.85741071428571,0.0922678571428571,15,895
2004-05-16,"2004 W20",7,2,9,915,1058,62,-0.480363095238095,0.0673095238095238,12,684
2004-05-23,"2004 W21",1,2,3,650,843,44,1.66761904761905,0.0745059523809524,10,743
2004-05-30,"2004 W22",2,1,3,693,763,43,3.12783333333333,0.106321428571429,8,1041
2004-06-06,"2004 W23",4,2,6,609,684,29,6.5592380952381,0.0852916666666667,10,792
2004-06-13,"2004 W24",1,1,2,575,663,32,7.42682738095238,0.112875,6,819
2004-06-20,"2004 W25",1,0,1,537,610,11,9.22551785714286,0.105636904761905,6,755
2004-06-27,"2004 W26",2,0,2,422,480,14,10.8552916666667,0.0824107142857143,6,711
2004-07-04,"2004 W27",0,0,0,444,487,11,11.7062202380952,0.107285714285714,6,752
2004-07-11,"2004 W28",0,0,0,420,474,14,12.8934702380952,0.113422619047619,7,663
2004-07-18,"2004 W29",1,0,1,429,453,10,14.5113273809524,0.099797619047619,6,699
2004-07-25,"2004 W30",1,0,1,393,430,7,12.903744047619,0.108815476190476,6,528
2004-08-01,"2004 W31",0,0,0,286,299,2,12.9205833333333,0.108220238095238,4,631
2004-08-08,"2004 W32",1,0,1,433,465,1,11.6721369047619,0.103916666666667,0,651
2004-08-15,"2004 W33",2,0,2,374,389,0,12.2959107142857,0.0950773809523809,7,810
2004-08-22,"2004 W34",2,0,2,498,523,0,10.2780892857143,0.112208333333333,6,671
2004-08-29,"2004 W35",0,0,0,404,428,4,8.24022023809524,0.12847619047619,8,755
2004-09-05,"2004 W36",0,0,0,440,461,7,8.09205357142857,0.119458333333333,9,1014
2004-09-12,"2004 W37",1,1,2,558,575,5,5.32294047619048,0.14239880952381,9,1042
2004-09-19,"2004 W38",1,1,2,559,659,1,4.58957142857143,0.121333333333333,13,1407
2004-09-26,"2004 W39",3,0,3,791,948,7,4.95497619047619,0.100517857142857,17,1656
2004-10-03,"2004 W40",4,0,4,776,906,4,1.7382619047619,0.0774285714285714,30,1544
2004-10-10,"2004 W41",8,0,8,933,1005,6,1.34195833333333,0.0957202380952381,40,1675
2004-10-17,"2004 W42",2,0,2,1139,1184,33,-2.34617857142857,0.105083333333333,76,1924
2004-10-24,"2004 W43",14,0,14,1108,1154,6,-5.41624404761905,0.076922619047619,57,2014
2004-10-31,"2004 W44",15,0,15,1032,1062,13,-4.86634523809524,0.0763392857142857,58,2207
2004-11-07,"2004 W45",8,1,9,1039,1109,25,-8.21027976190476,0.0834107142857143,51,2245
2004-11-14,"2004 W46",27,0,27,1275,1367,25,-11.6760476190476,0.0512261904761905,48,2237
2004-11-21,"2004 W47",31,0,31,1273,1364,31,-9.32243452380952,0.0635,42,2156
2004-11-28,"2004 W48",34,1,35,1299,1393,70,-13.4614821428571,0.0716845238095238,31,2345
2004-12-05,"2004 W49",81,1,82,1493,1505,94,-17.8167797619048,0.0778035714285714,32,2457
2004-12-12,"2004 W50",129,4,133,1503,1354,125,-20.2470892857143,0.0614107142857143,26,2722
2004-12-19,"2004 W51",278,2,280,1718,1312,164,-19.5663630952381,0.0680714285714286,26,3099
2004-12-26,"2004 W52",502,10,512,2660,1732,187,-24.1702976190476,0.0717738095238095,27,3586
2005-01-02,"2004 W53",730,8,738,4015,2632,271,-23.2167916666667,0.0526190476190476,27,3761
2005-01-09,"2005 W01",822,7,829,4297,2926,254,-21.1893928571429,0.039827380952381,27,3120
2005-01-16,"2005 W02",801,23,824,3977,2672,235,-26.9916011904762,0.046875,27,3123
2005-01-23,"2005 W03",948,17,965,4494,3076,381,-24.2568333333333,0.0804285714285714,25,3276
2005-01-30,"2005 W04",976,39,1015,4146,2836,361,-20.994119047619,0.0563392857142857,24,3392
2005-02-06,"2005 W05",850,61,911,4838,3670,477,-18.885875,0.0671845238095238,24,3526
2005-02-13,"2005 W06",722,70,792,4788,4045,604,-18.7925178571429,0.052875,23,3274
2005-02-20,"2005 W07",627,94,721,4381,3905,568,-19.8096607142857,0.0419285714285714,34,3658
2005-02-27,"2005 W08",647,163,810,4825,4303,721,-17.1900238095238,0.036875,39,3527
2005-03-06,"2005 W09",385,151,536,3865,3695,601,-14.9917261904762,0.055625,38,2927
2005-03-13,"2005 W10",327,197,524,3433,3314,539,-14.7879702380952,0.0667738095238095,25,2786
2005-03-20,"2005 W11",144,200,344,2498,2516,363,-12.4913273809524,0.0361011904761905,21,2438
2005-03-27,"2005 W12",92,239,331,2723,2764,369,-13.4462023809524,0.0355535714285714,20,2370
2005-04-03,"2005 W13",89,188,277,2374,2408,317,-7.56134523809524,0.0821607142857143,11,2036
2005-04-10,"2005 W14",39,122,161,1951,1995,226,-4.1667380952381,0.0633511904761905,19,1715
